date,dow,dowc,wkd,mon,ssn,bkng,avail,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sun,mon,tue,wed,thu,fri,sat,hol,ishol,hol3,hol5,hol7,holwknd,vis,vis30,vis45,vis60,vis714,seo,seo30,seo45,seo60,seo714,hit,hit30,hit45,hit60,hit714,pv,pv30,pv45,pv60,pv714,clk,clk30,clk45,clk60,clk714,imp,imp30,imp45,imp60,imp714,cvr,cvr30,cvr45,cvr60,cvr714,pact,ssnidx,pactadj,tmin,tmax,prcp,lwsnw,lwsnwdp,hisnwdp,ratedbfp,ratefam,rategf,ratemv,ratepbfp,ratesbfp,ratesmfp,ratesmp,ratesmv,ratets,ratetshi,ratevv,ratevfp,ratewghtavg,ratedbfpadj,ratefamadj,rategfadj,ratemvadj,ratepbfpadj,ratesbfpadj,ratesmfpadj,ratesmpadj,ratesmvadj,ratetsadj,ratetshiadj,ratevvadj,ratevfpadj,ratewghtavgadj
2015-01-01,Thursday,5,0,1,1,84,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nyd,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,369,501,708,88,278,7308,10398,14858,1535,0,5,19,20,21,240.3316029,0.979868323,245.269285,8.4,26.2,0,0,3,35.5, $296.00 , $245.00 , $204.00 , $204.00 , $317.00 , $286.00 , $230.52 , $221.11 , $210.76 , $371.66 , $322.73 , $210.76 , $239.93 , $229.77 , $302.08 , $250.03 , $208.19 , $208.19 , $323.51 , $291.88 , $235.26 , $225.65 , $215.09 , $379.29 , $329.36 , $215.09 , $244.86 , $234.49 
2015-01-02,Friday,6,1,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,360,494,699,82,176,7174,10152,14723,1474,0,4,19,20,21,216.6748711,1.441222991,150.340976,11.4,30,0,0,4,36, $251.00 , $183.00 , $163.00 , $163.00 , $282.00 , $241.00 , $172.18 , $162.78 , $162.78 , $307.67 , $259.69 , $172.18 , $201.35 , $187.11 , $174.16 , $126.98 , $113.10 , $113.10 , $195.67 , $167.22 , $119.47 , $112.94 , $112.94 , $213.48 , $180.19 , $119.47 , $139.71 , $129.83 
2015-01-03,Saturday,7,1,1,1,89,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,364,498,704,79,211,7194,10154,14713,1452,0,4,19,20,21,175.6838229,1.461636914,120.1966242,16.2,29.4,0.02625,0.06,3.875,35.5, $251.00 , $183.00 , $163.00 , $163.00 , $282.00 , $241.00 , $172.18 , $162.78 , $162.78 , $307.67 , $259.69 , $172.18 , $201.35 , $187.11 , $171.73 , $125.20 , $111.52 , $111.52 , $192.93 , $164.88 , $117.80 , $111.37 , $111.37 , $210.50 , $177.67 , $117.80 , $137.76 , $128.02 
2015-01-04,Sunday,1,0,1,1,22,68,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,362,499,697,70,224,7238,10165,14676,1406,0,4,19,20,21,156.0067667,0.926792122,168.3298369,18.2,32,0.58625,0.54,4.9,42.5, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $230.90 , $175.88 , $153.22 , $153.22 , $253.56 , $220.11 , $165.48 , $155.33 , $155.33 , $300.51 , $248.73 , $165.48 , $196.95 , $176.29 
2015-01-05,Monday,2,0,1,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,363,496,697,59,393,7431,10321,14766,1554,1,5,19,20,21,179.2,0.63691441,281.3564857,31,41,1.505,3.86,8.6,39, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $335.99 , $255.92 , $222.95 , $222.95 , $368.97 , $320.29 , $240.80 , $226.02 , $226.02 , $437.27 , $361.93 , $240.80 , $286.59 , $256.52 
2015-01-06,Tuesday,3,0,1,1,16,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,359,491,695,61,234,7399,10366,14723,1695,0,5,19,20,21,168.2986,0.669576687,251.3507463,29.8,41,0.047142857,0,8.166666667,37.5, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $319.60 , $243.44 , $212.07 , $212.07 , $350.97 , $304.67 , $229.05 , $215.00 , $215.00 , $415.94 , $344.28 , $229.05 , $272.61 , $244.01 
2015-01-07,Wednesday,4,0,1,1,11,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,353,490,689,62,275,7314,10386,14805,1507,0,5,19,20,21,199.98176,0.632831625,316.0110085,31.2,42.4,0.012222222,0,7.875,37, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $338.16 , $257.57 , $224.39 , $224.39 , $371.35 , $322.36 , $242.35 , $227.48 , $227.48 , $440.10 , $364.27 , $242.35 , $288.44 , $258.18 
2015-01-08,Thursday,5,0,1,1,9,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,342,487,686,60,330,7238,10600,14905,1351,0,5,19,20,21,155.2179333,0.502182515,309.0866938,29.8,40.2,0,0,6.166666667,37, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $426.14 , $324.58 , $282.77 , $282.77 , $467.96 , $406.23 , $305.40 , $286.66 , $286.66 , $554.59 , $459.04 , $305.40 , $363.48 , $325.34 
2015-01-09,Friday,6,1,1,1,57,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,336,486,680,64,132,6960,10569,14629,1483,0,5,19,20,21,178.5194525,1.188090341,150.2574731,28.4,34.4,0,0,6,36.5, $251.00 , $183.00 , $163.00 , $163.00 , $282.00 , $241.00 , $172.18 , $162.78 , $162.78 , $307.67 , $259.69 , $172.18 , $201.35 , $187.11 , $211.26 , $154.03 , $137.19 , $137.19 , $237.36 , $202.85 , $144.93 , $137.01 , $137.01 , $258.97 , $218.58 , $144.93 , $169.48 , $157.49 
2015-01-10,Saturday,7,1,1,1,91,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,330,485,676,55,160,6656,10545,14627,1397,0,4,19,20,21,182.2366275,1.469802484,123.9871544,28.4,33.6,0.0275,0,7.125,36.5, $251.00 , $183.00 , $163.00 , $163.00 , $282.00 , $241.00 , $172.18 , $162.78 , $162.78 , $307.67 , $259.69 , $172.18 , $201.35 , $187.11 , $170.77 , $124.51 , $110.90 , $110.90 , $191.86 , $163.97 , $117.15 , $110.75 , $110.75 , $209.33 , $176.68 , $117.15 , $136.99 , $127.31 
