date,dow,dowc,wkd,month,ssn,bkng,avail,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sun,mon,tue,wed,thu,fri,sat,hol,ishol,hol3,hol5,hol7,holwknd
2015-01-01,Thursday,5,0,1,1,84,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nyd,1,1,1,1,0
2015-01-02,Friday,6,1,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
2015-01-03,Saturday,7,1,1,1,89,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
2015-01-04,Sunday,1,0,1,1,22,68,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
2015-01-05,Monday,2,0,1,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2015-01-06,Tuesday,3,0,1,1,16,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2015-01-07,Wednesday,4,0,1,1,11,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2015-01-08,Thursday,5,0,1,1,9,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-01-09,Friday,6,1,1,1,57,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-01-10,Saturday,7,1,1,1,91,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-01-11,Sunday,1,0,1,1,16,74,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,Monday,2,0,1,1,7,83,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015-01-13,Tuesday,3,0,1,1,8,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2015-01-14,Wednesday,4,0,1,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2015-01-15,Thursday,5,0,1,1,19,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2015-01-16,Friday,6,1,1,1,51,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
2015-01-17,Saturday,7,1,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
2015-01-18,Sunday,1,0,1,1,75,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
2015-01-19,Monday,2,0,1,1,10,80,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,mlk,1,1,1,1,0
2015-01-20,Tuesday,3,0,1,1,27,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
2015-01-21,Wednesday,4,0,1,1,28,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
2015-01-22,Thursday,5,0,1,1,15,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
2015-01-23,Friday,6,1,1,1,59,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
2015-01-24,Saturday,7,1,1,1,89,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
2015-01-25,Sunday,1,0,1,1,27,63,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015-01-26,Monday,2,0,1,1,14,76,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015-01-27,Tuesday,3,0,1,1,19,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-28,Wednesday,4,0,1,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-01-29,Thursday,5,0,1,1,17,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-01-30,Friday,6,1,1,1,58,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-01-31,Saturday,7,1,1,1,72,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-02-01,Sunday,1,0,2,1,13,77,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,Monday,2,0,2,1,9,81,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,Tuesday,3,0,2,1,11,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-04,Wednesday,4,0,2,1,9,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-02-05,Thursday,5,0,2,1,8,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-02-06,Friday,6,1,2,1,52,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-02-07,Saturday,7,1,2,1,80,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2015-02-08,Sunday,1,0,2,1,15,75,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015-02-09,Monday,2,0,2,1,12,78,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2015-02-10,Tuesday,3,0,2,1,11,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2015-02-11,Wednesday,4,0,2,1,10,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
2015-02-12,Thursday,5,0,2,1,19,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
2015-02-13,Friday,6,1,2,1,44,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
2015-02-14,Saturday,7,1,2,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mwb,1,1,1,1,1
2015-02-15,Sunday,1,0,2,1,71,19,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,mwb,1,1,1,1,1
2015-02-16,Monday,2,0,2,1,38,52,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pres,1,1,1,1,0
2015-02-17,Tuesday,3,0,2,1,29,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
2015-02-18,Wednesday,4,0,2,1,34,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
2015-02-19,Thursday,5,0,2,1,32,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
2015-02-20,Friday,6,1,2,1,68,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
2015-02-21,Saturday,7,1,2,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
2015-02-22,Sunday,1,0,2,1,20,70,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015-02-23,Monday,2,0,2,1,13,77,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015-02-24,Tuesday,3,0,2,1,12,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-25,Wednesday,4,0,2,1,18,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-02-26,Thursday,5,0,2,1,23,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-02-27,Friday,6,1,2,1,58,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
